num_walks=3: {'Precision@20': np.float64(0.0012195121951219512), 'HitRate@20': np.float64(0.024390243902439025), 'NDCG@20': np.float64(0.006097560975609756), 'MAP@20': np.float64(0.0016260162601626016), 'Diversity@20': np.float64(0.9125064409407769), 'Novelty@20': np.float64(13.976055539914135), 'Serendipity@20': np.float64(1.003004356261689), 'AveragePopularity@20': np.float64(7.613414634146342), 'AUC (Global)': np.float64(0.5371754913802635), 'AUC (Sampled)': np.float64(0.5386486486486486), 'MeanRank': np.float64(2769.162162162162), 'MRR': np.float64(0.0023856953819462188)}
num_walks=5: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.9052490984875906), 'Novelty@20': np.float64(13.938986829892134), 'Serendipity@20': np.float64(1.000186149855379), 'AveragePopularity@20': np.float64(8.1), 'AUC (Global)': np.float64(0.5197831978865499), 'AUC (Sampled)': np.float64(0.5223529411764707), 'MeanRank': np.float64(2875.264705882353), 'MRR': np.float64(0.0007287507224745035)}
num_walks=7: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.9057619698152105), 'Novelty@20': np.float64(14.051422840437509), 'Serendipity@20': np.float64(0.99856305425525), 'AveragePopularity@20': np.float64(7.179999999999999), 'AUC (Global)': np.float64(0.5453548127483708), 'AUC (Sampled)': np.float64(0.5502777777777778), 'MeanRank': np.float64(2721.75), 'MRR': np.float64(0.0014843932779124928)}
num_walks=9: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8886737666114534), 'Novelty@20': np.float64(13.901250295347149), 'Serendipity@20': np.float64(0.9947019385562346), 'AveragePopularity@20': np.float64(9.282222222222222), 'AUC (Global)': np.float64(0.46399035295310886), 'AUC (Sampled)': np.float64(0.4678571428571428), 'MeanRank': np.float64(3206.9761904761904), 'MRR': np.float64(0.0005984542041683244)}
num_walks=11: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8824379168140408), 'Novelty@20': np.float64(13.919760044580311), 'Serendipity@20': np.float64(0.990706368727014), 'AveragePopularity@20': np.float64(8.2625), 'AUC (Global)': np.float64(0.516697178373455), 'AUC (Sampled)': np.float64(0.5228947368421052), 'MeanRank': np.float64(2892.8947368421054), 'MRR': np.float64(0.0009833584696132796)}
num_walks=13: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8688428475533992), 'Novelty@20': np.float64(13.946628280445651), 'Serendipity@20': np.float64(0.9734659530619298), 'AveragePopularity@20': np.float64(8.920000000000002), 'AUC (Global)': np.float64(0.538399555664125), 'AUC (Sampled)': np.float64(0.5322222222222222), 'MeanRank': np.float64(2765.6666666666665), 'MRR': np.float64(0.0009907595524409278)}
num_walks=15: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8445677981014054), 'Novelty@20': np.float64(13.945751637425733), 'Serendipity@20': np.float64(0.9647123989294464), 'AveragePopularity@20': np.float64(8.514285714285714), 'AUC (Global)': np.float64(0.6170487801947283), 'AUC (Sampled)': np.float64(0.6168571428571429), 'MeanRank': np.float64(2294.2285714285713), 'MRR': np.float64(0.0017861221617548706)}
num_walks=17: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8431761006198059), 'Novelty@20': np.float64(14.023543839305969), 'Serendipity@20': np.float64(0.9283744219202665), 'AveragePopularity@20': np.float64(8.36195652173913), 'AUC (Global)': np.float64(0.5545189456434778), 'AUC (Sampled)': np.float64(0.5520512820512822), 'MeanRank': np.float64(2667.7179487179487), 'MRR': np.float64(0.0013136669837694407)}
num_walks=19: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8135239147398037), 'Novelty@20': np.float64(13.843402894188475), 'Serendipity@20': np.float64(0.9297901454854347), 'AveragePopularity@20': np.float64(8.835714285714285), 'AUC (Global)': np.float64(0.5504492394490624), 'AUC (Sampled)': np.float64(0.5438461538461539), 'MeanRank': np.float64(2691.358974358974), 'MRR': np.float64(0.0010411143191484575)}
num_walks=21: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.8097798694553798), 'Novelty@20': np.float64(13.873239233993967), 'Serendipity@20': np.float64(0.8939480460081315), 'AveragePopularity@20': np.float64(8.404347826086958), 'AUC (Global)': np.float64(0.4751493431962796), 'AUC (Sampled)': np.float64(0.471219512195122), 'MeanRank': np.float64(3146.0), 'MRR': np.float64(0.00045482472370175997)}
num_walks=23: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.7873927874056815), 'Novelty@20': np.float64(13.936656039062859), 'Serendipity@20': np.float64(0.8532165750374541), 'AveragePopularity@20': np.float64(8.527777777777779), 'AUC (Global)': np.float64(0.5056784706585811), 'AUC (Sampled)': np.float64(0.5035897435897437), 'MeanRank': np.float64(2960.8205128205127), 'MRR': np.float64(0.0010109547934973174)}
num_walks=25: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.7187927282745628), 'Novelty@20': np.float64(13.77805880214939), 'Serendipity@20': np.float64(0.780769724682339), 'AveragePopularity@20': np.float64(9.141666666666666), 'AUC (Global)': np.float64(0.5312228540331003), 'AUC (Sampled)': np.float64(0.5283783783783784), 'MeanRank': np.float64(2804.054054054054), 'MRR': np.float64(0.0006928199982687146)}
num_walks=27: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.6963364012772013), 'Novelty@20': np.float64(13.930542358541807), 'Serendipity@20': np.float64(0.7623789587672037), 'AveragePopularity@20': np.float64(8.77), 'AUC (Global)': np.float64(0.4467057403634043), 'AUC (Sampled)': np.float64(0.4526190476190476), 'MeanRank': np.float64(3312.8571428571427), 'MRR': np.float64(0.0013657896184181568)}
num_walks=29: {'Precision@20': np.float64(0.0), 'HitRate@20': np.float64(0.0), 'NDCG@20': np.float64(0.0), 'MAP@20': np.float64(0.0), 'Diversity@20': np.float64(0.6647614670429565), 'Novelty@20': np.float64(13.907265184981531), 'Serendipity@20': np.float64(0.7173466649972724), 'AveragePopularity@20': np.float64(8.31625), 'AUC (Global)': np.float64(0.5548507418619103), 'AUC (Sampled)': np.float64(0.5455), 'MeanRank': np.float64(2667.65), 'MRR': np.float64(0.0008319944026316039)}
Best: 3
